"Transformers : Rise of the Beasts"	878,12,28	667538	"En 1994, alors que les Autobots viennent d'arriver, Optimus Prime s'acclimate à la Terre. Une archéologue et un ancien militaire vont découvrir les traces d'une guerre entre deux anciennes factions de Transformers, les Maximals et les Predacons. Optimus Prime devra faire face à de nouveaux ennemis, les Predacons et leur redoutable chef Scourge. Les Autobots et les Maximals feront face à une menace encore plus grande : Unicron, une planète métallique géante qui s'apprête à dévorer la Terre."	2vFuG6bWGyQUzYS9d69E5l85nIz.jpg	cZhfSZlCZgQkpGEpqf0nBMuzuY9.jpg	tt5090568	127
"God of Pain"	27,878,53	1201734	"A man wakes up in the middle of the street with no idea where he is or how he ended up there. Soon he is forced to confront the demons he is battling within before a gateway to the underworld unlocks the secret of Algea the God of Pain."	kXPCUNo7ALN0S03AbmTY9Ln6Fbc.jpg	dF0FAFCfILaor5RBqdNHq24OaIn.jpg	tt14909408	100
"L'Étrange Noël de monsieur Jack"	14,16,10751	9479	"Jack Skellington, un épouvantail squelettique surnommé « le Roi des citrouilles », vit dans la ville d'Halloween.  En tant que maître de l'épouvante, Jack occupe ses journées à préparer la prochaine fête d'Halloween.  Mais le terrible épouvantail, lassé de cette vie répétitive et monotone, décide de partir. C'est alors qu'il découvre la ville de Noël.  Après cette aventure, il revient chez lui, avec une idée originale en tête : et si cette année, c'étaient les habitants de la ville d'Halloween qui allaient fêter Noël ?"	xWT5F1DNxciNLEMXRl49iq8zvN7.jpg	e5hgZBkL1kvY0fGPixZD0468VIA.jpg	tt0107688	76
"Flamin' Hot"	18,36	626332	"L’histoire inspirante de Richard Montañez, agent d’entretien chez Frito Lay qui, fort de son héritage latino-américain, révolutionne les célèbres Cheetos « Flamin’ Hot » pour en faire des chips qui vont bousculer les standards de l’industrie agro-alimentaire, avant de devenir un phénomène de pop culture à l’échelle mondiale."	yYEOYzgqPB31mkSsuPdCvXH3zHv.jpg	l7HOPTRanBjjEPrqhZL8P5F7o1k.jpg	tt8105234	99
"Miraculous World : Paris, Les Aventures de Toxinelle et Griffe Noire"	16,12,28,14,10751	1147400	"Des porteurs de Miraculous venus d’un autre monde surgissent dans la ville de Paris. Ils viennent d’un univers parallèle où tout est inversé : Toxinelle et Griffe Noire, les alter égos maléfiques de Ladybug et Chat Noir sont les méchants et le porteur du Papillon, Hesperia, est un super-héros. Ensemble Ladybug et Chat Noir – les vrais – vont devoir aider Hespéria à contrer les attaques de leurs doubles maléfiques et les empêcher de s’emparer du Miraculous du Papillon. Mais nos héros pourront-ils aider Hesperia à faire de Toxinelle et Griffe Noire de meilleures personnes ?"	hU1Q9YVzdYhokr8a9gLywnSUMlN.jpg	4wHrXw9zB4wsibWaAPDkvjNGPnQ.jpg	tt29259099	48
Migration	16,28,12,35,10751	940551	"La routine règne chez les Colvert. Si papa Mack préfère garder les siens bien à l’abri dans leur étang de la Nouvelle-Angleterre, maman Pam veut changer les choses et faire découvrir le monde à leurs deux enfants, Dax l’ado et Gwen la cadette. Après qu’une famille de canards migrateurs s’est enflammée pour des récits parlant d’endroits très lointains, Pam persuade Mack d’embarquer la famille dans un long périple, depuis la ville de New York jusque sous les tropiques, en Jamaïque. Tandis que les Colvert s’envolent vers le Sud pour l’hiver, leurs projets bien rodés tombent rapidement à l’eau. Une expérience qui les pousse alors à étendre leurs horizons, à s’ouvrir à de nouveaux amis et à aller au-delà de leurs espoirs les plus fous, tout en apprenant davantage sur chacun et sur soi-même"	2KGxQFV9Wp1MshPBf8BuqWUgVAz.jpg	3xGLxvuVvLoPhrCxkofkczfR6R5.jpg	tt6495056	83
"Fast & Furious X"	28,80,53	385687	"Après bien des missions et contre toute attente, Dom Toretto et sa famille ont su déjouer, devancer, surpasser et distancer tous les adversaires qui ont croisé leur route. Ils sont aujourd’hui face à leur ennemi le plus terrifiant et le plus intime : émergeant des brumes du passé, ce revenant assoiffé de vengeance est bien déterminé à décimer la famille en réduisant à néant tout ce à quoi, et surtout à qui Dom ait jamais tenu."	4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg	piYNJlLvSlXYnXh6ZoKzhPdrMfV.jpg	tt5433140	142
"Harry Potter à l'école des sorciers"	12,14	671	"Orphelin, le jeune Harry Potter peut enfin quitter ses tyranniques oncle et tante Dursley lorsqu'un curieux messager lui révèle qu'il est un sorcier. À 11 ans, Harry va enfin pouvoir intégrer la légendaire école de sorcellerie de Poudlard, y trouver une famille digne de ce nom et des amis, développer ses dons, et préparer son glorieux avenir."	t3LicFpYHeYpwqm7L5wDpd22hL5.jpg	fbxQ44VRdM2PVzHSNajUseUteem.jpg	tt0241527	152
Coco	10751,16,10402,12	354912	"Depuis déjà plusieurs générations, la musique est bannie dans la famille de Miguel. Un vrai déchirement pour le jeune garçon dont le rêve ultime est de devenir un musicien aussi accompli que son idole, Ernesto de la Cruz. Bien décidé à prouver son talent, Miguel, par un étrange concours de circonstances, se retrouve propulsé dans un monde étonnant et coloré lié aux célébrations des ancêtres. Là, il se lie d’amitié avec Hector, un gentil garçon mais un peu filou sur les bords. Ensemble, ils vont accomplir un voyage extraordinaire qui leur révèlera la véritable histoire qui se cache derrière celle de la famille de Miguel…"	askg3SMvhqEl4OL52YuvdtY40Yb.jpg	sZqcEV3KhDITHlUBmyj1a3RRvT9.jpg	tt2380307	105
"Le Seigneur des anneaux : Le Retour du roi"	12,14,28	122	"La bataille pour la Terre du Milieu a commencé. Frodon et Sam, guidés par Gollum, poursuivent leur mission à travers les terres du Mordor pour détruire l'Anneau Unique. Tandis que le pouvoir de Sauron grandit, Aragorn, l'héritier du trône du Gondor, rassemble l'armée des Hommes contre les forces du Mal, afin de laisser une chance au porteur de l'Anneau d'accomplir sa quête…"	2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg	ypUCFOvOf07bcHy81jng9LyMUfi.jpg	tt0167260	201
"Terrifier 2"	27,53	663712	"Art le Clown est ressuscité à la morgue par une entité mystérieuse et sinistre. Un an plus tard, le soir d'Halloween, le psychopathe déguisé revient dans le comté de Miles. Une fois sur place il décide d'attaquer Sienna Shaw, une adolescente, et Jonathan, son jeune frère. Le défunt père des deux cibles leur avait en effet légué un livre de croquis plein d'images prémonitoires sur l'avenir d'Art le Clown."	cRdA9xjHBbobw4LJFsQ3j1CgpVq.jpg	eJQlUfpvBpsa46qc8MisrzpV4Ib.jpg	tt10403420	138
"Hunting Games"	28,53,10770	1115396	"When a group of ex-military members is hired to retrieve a lost bag of stolen money, their mission becomes more difficult after a lone hunter finds the bag first."	x2thJwMJ6oGlhn7UC4vSwHltEw0.jpg	xVbEJzdMxIQqpuLgla0hU8qr9mt.jpg	tt26771713	94
